# wavelength [micron], EQE [1]
1.005410821643286656e+00,-1.556513623206391870e-16
1.009819639278557224e+00,-4.280330524283684894e-17
1.014228456913827792e+00,1.562125200449321051e-16
1.018637274549098359e+00,-1.490250693638556911e-16
1.023046092184368927e+00,1.843365866952032681e-16
1.027454909819639273e+00,1.986700807487758674e-16
1.031863727454909840e+00,-1.427917275335551439e-16
1.036272545090180408e+00,-1.284536027150338330e-16
1.040681362725450976e+00,-1.139517112651129679e-16
1.045090180360721543e+00,1.140392125098304582e-16
1.049498997995992111e+00,-1.045032506337014474e-16
1.053907815631262679e+00,-1.190990471968388081e-16
1.058316633266533247e+00,1.744353065513895228e-16
1.062725450901803592e+00,4.080330820445072593e-16
1.067134268537074160e+00,9.927997160248482084e-17
1.071543086172344728e+00,2.978239078069346970e-16
1.075951903807615295e+00,-2.978172567982120592e-16
1.080360721442885863e+00,-6.215853694108125146e-17
1.084769539078156431e+00,1.021118853780572772e-16
1.089178356713426998e+00,-6.800307178718997934e-17
1.093587174348697566e+00,4.692432779648149252e-17
1.097995991983968134e+00,4.961652010748924137e-17
1.102404809619238479e+00,-3.131428357159782716e-17
1.106813627254509047e+00,2.663801663014595379e-16
1.111222444889779615e+00,1.882603157073748463e-16
1.115631262525050182e+00,-7.101475723169110594e-16
1.120040080160320750e+00,-1.488297266323638336e-16
1.124448897795591318e+00,9.921438473606195763e-17
1.128857715430861886e+00,1.298352044536230608e-16
1.133266533066132453e+00,-9.919428444917492275e-17
1.137675350701402799e+00,1.140167668174584565e-16
1.142084168336673367e+00,-6.171856177129198956e-17
1.146492985971943934e+00,8.505300504575176102e-17
1.150901803607214502e+00,-3.383704924680505654e-16
1.155310621242485070e+00,2.624211086664291221e-17
1.159719438877755637e+00,-7.389016799321777620e-17
1.164128256513026205e+00,-3.590598137543283761e-17
1.168537074148296773e+00,5.674337671043298472e-17
1.172945891783567340e+00,-3.184157611215122380e-16
1.177354709418837686e+00,1.979470563073030331e-16
1.181763527054108254e+00,1.296019766709522667e-16
1.186172344689378821e+00,2.645906590440909504e-16
1.190581162324649389e+00,-4.113861926032448929e-16
1.194989979959919957e+00,-4.221286983510401110e-17
1.199398797595190524e+00,1.113607953829292096e-16
1.203807615230461092e+00,1.159179929508514952e-16
1.208216432865731660e+00,1.873133395306669045e-16
1.212625250501002006e+00,1.668139051236194637e-16
1.217034068136272573e+00,-4.064490043909354435e-16
1.221442885771543141e+00,-1.305265201288182824e-16
1.225851703406813709e+00,3.683917816107152587e-17
1.230260521042084276e+00,2.267340166039502573e-16
1.234669338677354844e+00,-4.000322102112736748e-16
1.239078156312625412e+00,3.052509035494312916e-16
1.243486973947895979e+00,-5.361575678225916642e-17
1.247895791583166547e+00,2.270260426853298887e-16
1.252304609218436893e+00,-7.418556409909022938e-17
1.256713426853707460e+00,-2.725177348249603956e-16
1.261122244488978028e+00,1.200783976875718217e-17
1.265531062124248596e+00,-1.830379686841997641e-16
1.269939879759519163e+00,2.298206373736710517e-17
1.274348697394789731e+00,-1.639342731352023166e-16
1.278757515030060299e+00,-9.591753433650010089e-17
1.283166332665330867e+00,-3.611526182644909787e-17
1.287575150300601434e+00,-2.619834973201233749e-16
1.291983967935871780e+00,-2.831911048769723799e-16
1.296392785571142348e+00,9.366450958782512363e-17
1.300801603206412915e+00,1.409143563114295213e-16
1.305210420841683483e+00,2.079766252123431581e-16
1.309619238476954051e+00,-1.353762525560283826e-18
1.314028056112224618e+00,-1.472970254483708045e-16
1.318436873747495186e+00,1.551032056641341180e-16
1.322845691382765754e+00,1.225505862586563845e-17
1.327254509018036321e+00,4.890169313802538819e-17
1.331663326653306889e+00,4.898311761346958860e-17
1.336072144288577235e+00,1.962618975658566344e-16
1.340480961923847802e+00,1.506040582784396147e-16
1.344889779559118370e+00,1.527416592278811784e-16
1.349298597194388938e+00,1.527742020257510708e-16
1.353707414829659506e+00,7.547214286023845303e-17
1.358116232464930073e+00,-2.014105687367525840e-16
1.362525050100200641e+00,2.023847752575080873e-16
1.366933867735471209e+00,1.541865417992134142e-18
1.371342685370741776e+00,-2.480349259987298648e-16
1.375751503006012122e+00,5.244606610259795644e-17
1.380160320641282690e+00,-1.287029681232819683e-16
1.384569138276553257e+00,4.949147587176889556e-17
1.388977955911823825e+00,-2.034042453227976292e-16
1.393386773547094393e+00,2.000116133571044984e-16
1.397795591182364960e+00,-1.768921400087142314e-18
1.402204408817635528e+00,1.005766857860963222e-16
1.406613226452906096e+00,6.198477832968232573e-19
1.411022044088176441e+00,-7.740544917156407839e-17
1.415430861723447009e+00,2.601073171402692978e-17
1.419839679358717577e+00,-1.021505442190682624e-16
1.424248496993988145e+00,-2.023401037951480936e-16
1.428657314629258712e+00,-1.030869466906504144e-16
1.433066132264529280e+00,1.177813575827318338e-18
1.437474949899799848e+00,-4.087386078317208087e-16
1.441883767535070415e+00,-8.197471766321802553e-19
1.446292585170340983e+00,-5.343211619124736030e-17
1.450701402805611329e+00,-1.078194395646264655e-18
1.455110220440881896e+00,-1.019526821129450840e-16
1.459519038076152464e+00,5.032621897956891348e-17
1.463927855711423032e+00,1.538115409077191176e-16
1.468336673346693599e+00,-1.539186931008959932e-16
1.472745490981964167e+00,2.436366379845686290e-19
1.477154308617234735e+00,4.974743904284512023e-19
1.481563126252505302e+00,-1.028201146259412554e-16
1.485971943887775648e+00,-0.000000000000000000e+00
1.490380761523046216e+00,-5.147601414395116725e-17
1.494789579158316783e+00,1.282449278406275894e-16
1.499198396793587351e+00,5.127414151751079339e-17
1.503607214428857919e+00,1.603189376114093904e-18
1.508016032064128487e+00,1.816712197960738886e-16
1.512424849699399054e+00,7.798048865015970321e-17
1.516833667334669622e+00,-2.771810777788323869e-17
1.521242484969940190e+00,-1.352687660127836486e-18
1.525651302605210535e+00,-5.170820152107093897e-17
1.530060120240481103e+00,-1.543865328572827592e-16
1.534468937875751671e+00,5.175753579185909017e-17
1.538877755511022238e+00,2.342466259912094480e-17
1.543286573146292806e+00,-2.590309415954434660e-17
1.547695390781563374e+00,1.295742595923950776e-16
1.552104208416833941e+00,-2.583997051453206743e-16
1.556513026052104509e+00,-1.161520377989981791e-18
1.560921843687374855e+00,-1.769456024839709200e-18
1.565330661322645422e+00,7.488391738673043876e-17
1.569739478957915990e+00,3.635384859543673875e-16
1.574148296593186558e+00,5.256741839011580572e-17
1.578557114228457126e+00,5.073273245097913102e-17
1.582965931863727693e+00,-1.296603569999456627e-16
1.587374749498998261e+00,-1.024290713633563928e-16
