# wavelength [micron], T [1], R_f [1], R_b [1]
1.459519038076152464e+00,8.130138433840373643e-03,3.710586687469951128e-01,8.078401064613887073e-01
1.463927855711423032e+00,8.122035486038795687e-03,3.751147959760334216e-01,8.092118448851409740e-01
1.468336673346693599e+00,8.119132525188820643e-03,3.790340319816121184e-01,8.105742887133636776e-01
1.472745490981964167e+00,8.109168549512130175e-03,3.828051687881389165e-01,8.119188897829180407e-01
1.477154308617234735e+00,8.097340423503688461e-03,3.863735837126123784e-01,8.132488721251932562e-01
1.481563126252505302e+00,8.078978271975343836e-03,3.896861152036991127e-01,8.145610654131800743e-01
1.485971943887775648e+00,8.043083562616494542e-03,3.927480210119156934e-01,8.158471480968010336e-01
1.490380761523046216e+00,8.011797069838391336e-03,3.956472881385607043e-01,8.171211797573092461e-01
1.494789579158316783e+00,7.958701984820015785e-03,3.983453332773833622e-01,8.183618930677928338e-01
1.499198396793587351e+00,7.922644367858220835e-03,4.008014969417995066e-01,8.195871414271103106e-01
1.503607214428857919e+00,7.875757924396981427e-03,4.032610247432782402e-01,8.207798648402482300e-01
1.508016032064128487e+00,7.829262751630370817e-03,4.054189398339697048e-01,8.219567208920712797e-01
1.512424849699399054e+00,7.774384497897459875e-03,4.072811868883801090e-01,8.231106071100120491e-01
1.516833667334669622e+00,7.713044966017526885e-03,4.088790865041790901e-01,8.242306681496388565e-01
1.521242484969940190e+00,7.653747533326011633e-03,4.102290544055042232e-01,8.253372434454376849e-01
1.525651302605210535e+00,7.593883551425721981e-03,4.114052093541528676e-01,8.264264321129538571e-01
1.530060120240481103e+00,7.539228419132253459e-03,4.123889449577196054e-01,8.275043106297226281e-01
1.534468937875751671e+00,7.504485216600566451e-03,4.131553518111183432e-01,8.285848494057990177e-01
1.538877755511022238e+00,7.474908346148076074e-03,4.136890092624723181e-01,8.296547709409057836e-01
1.543286573146292806e+00,7.476320070382393330e-03,4.140780919529961079e-01,8.307388173735998915e-01
1.547695390781563374e+00,7.491427466683579957e-03,4.142459238469027860e-01,8.318214567013703098e-01
1.552104208416833941e+00,7.508858054502689887e-03,4.140878275412653298e-01,8.328934442089344081e-01
1.556513026052104509e+00,7.528984425044862872e-03,4.136348547060990088e-01,8.339551549368960925e-01
1.560921843687374855e+00,7.551877756751677190e-03,4.129759837464286321e-01,8.350049793270996057e-01
1.565330661322645422e+00,7.567772682928924737e-03,4.120330093020044271e-01,8.360338989675134558e-01
1.569739478957915990e+00,7.587487115846017205e-03,4.108290550513951644e-01,8.370536675812082494e-01
